chr	start	end	position	LocusID	LeadVariant_P_value	variant	variant_P_value	LeadSNP_PosteriorProb	PosteriorProb	CredibleSet	Trait	Coding	CodingVariantGene	SpliceSite	SpliceSiteVariantGene	Promoter	PromoterVariantGene	Source
chr12	15205537	15205537	15205537	rs61907974	2.2e-08	rs61907974	2.2e-08	0.989925445491349	0.989925445491349	invnorm_max_aa_diam-rs61907974	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	15295697	15295697	15295697	rs61907983	8.8e-09	rs61907983	8.8e-09	0.99714935260281	0.99714935260281	invnorm_max_aa_diam-rs61907983	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	21842621	21842621	21842621	rs1643235	4.4e-16	rs1643235	4.4e-16	0.962455289427188	0.962455289427188	invnorm_max_aa_diam-rs1643235	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	21850727	21850727	21850727	rs4148673	8.9e-17	rs4148673	8.9e-17	0.989603073935768	0.989603073935768	invnorm_max_aa_diam-rs4148673	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	21852069	21852069	21852069	rs2307024	2.8e-17	rs2307024	2.8e-17	0.994136730434567	0.994136730434567	invnorm_max_aa_diam-rs2307024	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	21855433	21855433	21855433	rs11046213	6.6e-17	rs11046213	6.6e-17	0.991129125518376	0.991129125518376	invnorm_max_aa_diam-rs11046213	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	21856007	21856007	21856007	rs2161063	9.2e-17	rs2161063	9.2e-17	0.987590201141242	0.987590201141242	invnorm_max_aa_diam-rs2161063	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	21857498	21857498	21857498	rs11046215	1e-16	rs11046215	1e-16	0.986123670770492	0.986123670770492	invnorm_max_aa_diam-rs11046215	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	21857731	21857731	21857731	rs10841900	8.5e-17	rs10841900	8.5e-17	0.988521192196656	0.988521192196656	invnorm_max_aa_diam-rs10841900	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr1	237031622	237031622	237031622	rs10802580	1.2e-08	rs10802580	1.2e-08	0.971137441213981	0.971137441213981	invnorm_max_aa_diam-rs10802580	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22288301	22288301	22288301	rs9510086	1e-45	rs9510086	1e-45	0.99943535898665	0.99943535898665	invnorm_max_aa_diam-rs9510086	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22291470	22291470	22291470	rs12857403	2.3e-46	rs12857403	2.3e-46	0.999652052100782	0.999652052100782	invnorm_max_aa_diam-rs12857403	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22295144	22295144	22295144	rs11618858	6.4e-46	rs11618858	6.4e-46	0.999388521154082	0.999388521154082	invnorm_max_aa_diam-rs11618858	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22297307	22297307	22297307	rs7994761	3.8e-47	rs7994761	3.8e-47	0.999875835358692	0.999875835358692	invnorm_max_aa_diam-rs7994761	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22302986	22302986	22302986	rs12876505	3e-46	rs12876505	3e-46	0.999601323459784	0.999601323459784	invnorm_max_aa_diam-rs12876505	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr13	22303324	22303324	22303324	rs12875918	2.4e-46	rs12875918	2.4e-46	0.999635714985332	0.999635714985332	invnorm_max_aa_diam-rs12875918	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	93993499	93993499	93993499	rs4905134	2.6e-18	rs4905134	2.6e-18	0.996597117947092	0.996597117947092	invnorm_max_aa_diam-rs4905134	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	93993893	93993893	93993893	rs11620660	5.9e-17	rs11620660	5.9e-17	0.99414609141618	0.99414609141618	invnorm_max_aa_diam-rs11620660	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	93994339	93994339	93994339	rs11848552	6e-17	rs11848552	6e-17	0.994446102515207	0.994446102515207	invnorm_max_aa_diam-rs11848552	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	93995015	93995015	93995015	rs9323898	4.5e-18	rs9323898	4.5e-18	0.994600369352759	0.994600369352759	invnorm_max_aa_diam-rs9323898	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	93999735	93999735	93999735	rs4905137	1.1e-17	rs4905137	1.1e-17	0.991659145787655	0.991659145787655	invnorm_max_aa_diam-rs4905137	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	94000108	94000108	94000108	rs6575381	1.1e-16	rs6575381	1.1e-16	0.977655698179431	0.977655698179431	invnorm_max_aa_diam-rs6575381	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr14	94003455	94003455	94003455	rs12890024	1.4e-15	rs12890024	1.4e-15	0.952200669993145	0.952200669993145	invnorm_max_aa_diam-rs12890024	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr15	71314041	71314041	71314041	rs11631778	6.3e-12	rs11631778	6.3e-12	0.97763752102164	0.97763752102164	invnorm_max_aa_diam-rs11631778	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr15	71317183	71317183	71317183	rs6494904	9.9e-13	rs6494904	9.9e-13	0.991831638922348	0.991831638922348	invnorm_max_aa_diam-rs6494904	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr15	71318496	71318496	71318496	rs11855326	1.3e-12	rs11855326	1.3e-12	0.99019596404797	0.99019596404797	invnorm_max_aa_diam-rs11855326	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr15	71320175	71320175	71320175	rs1441358	1.6e-13	rs1441358	1.6e-13	0.998489480758404	0.998489480758404	invnorm_max_aa_diam-rs1441358	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr15	71329185	71329185	71329185	rs11853359	4.3e-13	rs11853359	4.3e-13	0.996430363001914	0.996430363001914	invnorm_max_aa_diam-rs11853359	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr15	71336031	71336031	71336031	rs10851839	4.7e-12	rs10851839	4.7e-12	0.970664313348521	0.970664313348521	invnorm_max_aa_diam-rs10851839	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	69755613	69755613	69755613	rs12149704	3.1e-31	rs12149704	3.1e-31	0.999563571313285	0.999563571313285	invnorm_max_aa_diam-rs12149704	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	69839928	69839928	69839928	rs78432537	6.1e-32	rs78432537	6.1e-32	0.999824950445551	0.999824950445551	invnorm_max_aa_diam-rs78432537	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	69931118	69931118	69931118	rs77870048	1.2e-38	rs77870048	1.2e-38	0.999999999981213	0.999999999981213	invnorm_max_aa_diam-rs77870048	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	69935396	69935396	69935396	rs62053262	4.6e-40	rs62053262	4.6e-40	0.999999999998806	0.999999999998806	invnorm_max_aa_diam-rs62053262	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	70062776	70062776	70062776	rs62052481	6e-32	rs62052481	6e-32	0.99931778371414	0.99931778371414	invnorm_max_aa_diam-rs62052481	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	70341393	70341393	70341393	rs62049432	2.6e-32	rs62049432	2.6e-32	0.99911788448667	0.99911788448667	invnorm_max_aa_diam-rs62049432	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	70457752	70457752	70457752	rs62049035	8.8e-32	rs62049035	8.8e-32	0.996094491626982	0.996094491626982	invnorm_max_aa_diam-rs62049035	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	70662912	70662912	70662912	rs62050284	8.8e-33	rs62050284	8.8e-33	0.999893123433085	0.999893123433085	invnorm_max_aa_diam-rs62050284	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr16	83012185	83012185	83012185	rs7500448	2.5e-11	rs7500448	2.5e-11	0.924191673859698	0.924191673859698	invnorm_max_aa_diam-rs7500448	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	12277646	12277646	12277646	rs34734251	1.5e-24	rs34734251	1.5e-24	0.932626911669569	0.932626911669569	invnorm_max_aa_diam-rs34734251	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	12277646	12277646	12277646	rs9903895	7.3e-25	rs34734251	1.5e-24	0.941823607087783	0.932626911669569	invnorm_max_aa_diam-rs9903895	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	12278929	12278929	12278929	rs7215383	3.1e-25	rs7215383	3.1e-25	0.976703513203382	0.976703513203382	invnorm_max_aa_diam-rs7215383	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	12285123	12285123	12285123	rs34734251	1.5e-24	rs9903895	7.3e-25	0.932626911669569	0.941823607087783	invnorm_max_aa_diam-rs34734251	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	12285123	12285123	12285123	rs9903895	7.3e-25	rs9903895	7.3e-25	0.941823607087783	0.941823607087783	invnorm_max_aa_diam-rs9903895	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr17	12287396	12287396	12287396	rs6502186	5.6e-25	rs6502186	5.6e-25	0.953773777676854	0.953773777676854	invnorm_max_aa_diam-rs6502186	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr1	9374910	9374910	9374910	rs2871651	1.2e-12	rs2871651	1.2e-12	0.987708931326178	0.987708931326178	invnorm_max_aa_diam-rs2871651	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	164050310	164050310	164050310	rs16849225	9.9e-15	rs16849225	9.9e-15	0.989100565097889	0.989100565097889	invnorm_max_aa_diam-rs16849225	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	164067822	164067822	164067822	rs35930173	9e-15	rs35930173	9e-15	0.989234810477112	0.989234810477112	invnorm_max_aa_diam-rs35930173	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19508931	19508931	19508931	rs10176996	1e-38	rs10176996	1e-38	0.984335324509907	0.984335324509907	invnorm_max_aa_diam-rs10176996	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19511312	19511312	19511312	rs116595383	5.1e-39	rs116595383	5.1e-39	0.989914782890475	0.989914782890475	invnorm_max_aa_diam-rs116595383	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19515880	19515880	19515880	rs6708508	6.9e-39	rs6708508	6.9e-39	0.983988881558189	0.983988881558189	invnorm_max_aa_diam-rs6708508	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19520372	19520372	19520372	rs35786425	6.9e-39	rs35786425	6.9e-39	0.982357911498967	0.982357911498967	invnorm_max_aa_diam-rs35786425	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19525795	19525795	19525795	rs824510	4.4e-39	rs824510	4.4e-39	0.989398788059714	0.989398788059714	invnorm_max_aa_diam-rs824510	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	19529964	19529964	19529964	rs934012	4.3e-39	rs934012	4.3e-39	0.9868369806848	0.9868369806848	invnorm_max_aa_diam-rs934012	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	237318951	237318951	237318951	rs12052878	3.1e-11	rs12052878	3.1e-11	0.996733421612931	0.996733421612931	invnorm_max_aa_diam-rs12052878	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	237319276	237319276	237319276	rs6759927	6e-11	rs6759927	6e-11	0.994688247316329	0.994688247316329	invnorm_max_aa_diam-rs6759927	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr2	237324840	237324840	237324840	rs13032404	1.4e-10	rs13032404	1.4e-10	0.986752142306926	0.986752142306926	invnorm_max_aa_diam-rs13032404	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	128483046	128483046	128483046	rs62270945	1.9e-20	rs62270945	1.9e-20	0.999999272116251	0.999999272116251	invnorm_max_aa_diam-rs62270945	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	128694788	128694788	128694788	rs62270826	1.1e-11	rs62270826	1.1e-11	0.93523530851253	0.93523530851253	invnorm_max_aa_diam-rs62270826	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr3	66384219	66384219	66384219	rs2306272	4.6e-11	rs2306272	4.6e-11	0.919007947930397	0.919007947930397	invnorm_max_aa_diam-rs2306272	invnorm_max_aa_diam	TRUE	LRIG1	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr4	173735738	173735738	173735738	rs67846163	7.3e-22	rs67846163	7.3e-22	0.999999996532992	0.999999996532992	invnorm_max_aa_diam-rs67846163	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr4	173743414	173743414	173743414	rs60258086	2.9e-16	rs60258086	2.9e-16	0.99999412698293	0.99999412698293	invnorm_max_aa_diam-rs60258086	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr4	173748948	173748948	173748948	rs11940239	1.5e-15	rs11940239	1.5e-15	0.999982402111081	0.999982402111081	invnorm_max_aa_diam-rs11940239	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr4	173750123	173750123	173750123	rs60365243	1.4e-15	rs60365243	1.4e-15	0.999982197060843	0.999982197060843	invnorm_max_aa_diam-rs60365243	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr4	173756421	173756421	173756421	rs4235201	5.6e-18	rs4235201	5.6e-18	0.999999155861956	0.999999155861956	invnorm_max_aa_diam-rs4235201	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr4	173760350	173760350	173760350	rs188848834	1.8e-17	rs188848834	1.8e-17	0.999998399971327	0.999998399971327	invnorm_max_aa_diam-rs188848834	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	123184837	123184837	123184837	rs335196	5.1e-17	rs335196	5.1e-17	0.999734200766052	0.999734200766052	invnorm_max_aa_diam-rs335196	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	123192726	123192726	123192726	rs17469907	2.9e-17	rs17469907	2.9e-17	0.986785685960223	0.986785685960223	invnorm_max_aa_diam-rs17469907	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	170382897	170382897	170382897	rs76888257	4.2e-09	rs76888257	4.2e-09	0.957403007953859	0.957403007953859	invnorm_max_aa_diam-rs76888257	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	170383446	170383446	170383446	rs2071161	4.1e-09	rs2071161	4.1e-09	0.958819802791516	0.958819802791516	invnorm_max_aa_diam-rs2071161	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	170383792	170383792	170383792	rs11739136	3.9e-09	rs11739136	3.9e-09	0.962990064855522	0.962990064855522	invnorm_max_aa_diam-rs11739136	invnorm_max_aa_diam	TRUE	KCNMB1	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr5	96235301	96235301	96235301	rs62366031	3.5e-52	rs62366031	3.5e-52	0.999774217931145	0.999774217931145	invnorm_max_aa_diam-rs62366031	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	74013892	74013892	74013892	rs6974735	8.6e-72	rs6974735	8.6e-72	0.98951043222737	0.98951043222737	invnorm_max_aa_diam-rs6974735	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	74016342	74016342	74016342	rs7782306	1.7e-71	rs7782306	1.7e-71	0.987004544928955	0.987004544928955	invnorm_max_aa_diam-rs7782306	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	74016839	74016839	74016839	rs11768878	2.1e-71	rs11768878	2.1e-71	0.985998362538533	0.985998362538533	invnorm_max_aa_diam-rs11768878	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	85384642	85384642	85384642	rs2030624	1.6e-32	rs2030624	1.6e-32	0.994585695491334	0.994585695491334	invnorm_max_aa_diam-rs2030624	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	85386684	85386684	85386684	rs2463475	1e-32	rs2463475	1e-32	0.996084024042075	0.996084024042075	invnorm_max_aa_diam-rs2463475	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	85394721	85394721	85394721	rs2462057	1.1e-32	rs2462057	1.1e-32	0.995838689526459	0.995838689526459	invnorm_max_aa_diam-rs2462057	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr7	85401276	85401276	85401276	rs2463478	2.4e-32	rs2463478	2.4e-32	0.993940227235992	0.993940227235992	invnorm_max_aa_diam-rs2463478	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	123567745	123567745	123567745	rs6470156	1.4e-20	rs6470156	1.4e-20	0.99999879269247	0.99999879269247	invnorm_max_aa_diam-rs6470156	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	123581944	123581944	123581944	rs13270370	3.2e-17	rs13270370	3.2e-17	0.992435632421589	0.992435632421589	invnorm_max_aa_diam-rs13270370	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	123583243	123583243	123583243	rs7814093	1.5e-16	rs7814093	1.5e-16	0.969398099617149	0.969398099617149	invnorm_max_aa_diam-rs7814093	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	123594919	123594919	123594919	rs34557926	4.9e-23	rs34557926	4.9e-23	0.999999996084071	0.999999996084071	invnorm_max_aa_diam-rs34557926	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	123595922	123595922	123595922	rs2891781	1.2e-22	rs2891781	1.2e-22	0.999999988297326	0.999999988297326	invnorm_max_aa_diam-rs2891781	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr8	123596374	123596374	123596374	rs7006122	1.3e-22	rs7006122	1.3e-22	0.999999986158613	0.999999986158613	invnorm_max_aa_diam-rs7006122	invnorm_max_aa_diam	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111446804	111446804	111446804	rs3184504	5.9e-21	rs3184504	5.9e-21	0.998559618334924	0.998559618334924	invnorm_max_lv-rs3184504	invnorm_max_lv	TRUE	SH2B3	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111466567	111466567	111466567	rs4766578	6.6e-21	rs4766578	6.6e-21	0.998433338242295	0.998433338242295	invnorm_max_lv-rs4766578	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
chr12	111469627	111469627	111469627	rs35350651	4.5e-21	rs35350651	4.5e-21	0.998917585371099	0.998917585371099	invnorm_max_lv-rs35350651	invnorm_max_lv	FALSE	NA	FALSE	NA	FALSE	NA	QuantitativeHeartTraits
